validation_case_id,security_id,ticker,asof_date,candidate_id,base_id,lineage_id,pattern,pattern_status,structural_end,pivot_level,pivot_source_date,pivot_crossed_intraday,volume_ratio,C_screen_state,A_screen_state,L_individual_leadership_state,rs_rating_proxy_percentile,M_market_state,M_entry_state,candidate_stage,eligibility_reason_codes,annual_eps_growth_measure,evidence_adapter_reason_codes
00096f7a4b4ecab4,US18467V1098,YOU,2024-03-28,d1a865981e0ac812ffd2dcee,base_e3fc303df61fdcc90c1f,lineage_b7930113209cd55e04a8,CUP_WITHOUT_HANDLE,RECOGNIZED,2024-03-28,24.20999908,2023-12-14,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,31.3846153846,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,[], ,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
00030b2df588556d,US49907V2016,KSCP,2024-03-28,36a5a9acf5aff5a6a83ce301,base_119d181a7530ed894a47,lineage_2f4e50e4ee9f91a17912,DOUBLE_BOTTOM,REJECTED,2024-03-01,41.0,2023-12-05,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,4.3076923077,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_REJECTED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
001fa9b0e4a4ccd7,US1570851014,CERS,2024-06-28,a21fd96f0e0645cb7d65e5da,base_e42712c014267b17cdb4,lineage_600bd81e689bd5abe192,DOUBLE_BOTTOM,RECOGNIZED,2024-06-04,2.20000005,2024-05-15,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,13.2307692308,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,"[""BREAKOUT_ALREADY_OCCURRED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
000295a8a2d10e84,US98955K1043,ZVIA,2024-06-28,4d08ad72a8f7637fbd6aed9e,base_ea28860744ab27b342a7,lineage_b247cdd93f1080b2eaa5,DOUBLE_BOTTOM,REJECTED,2024-06-14,2.86899996,2023-09-12,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,6.1538461538,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_REJECTED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
000588558b7881ad,US98955K1043,ZVIA,2024-09-30,bd766f3b66e570d1df8958d7,base_c31b52d43b24361a2878,lineage_d9630e2e24812ba536d4,CUP_WITH_HANDLE,AMBIGUOUS,2024-09-30,2.0999999,2023-10-11,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,12.7692307692,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
000e7c92a331292f,US23291C1036,BOOM,2024-09-30,896174642b6208e8631d0874,base_e02fd520720223774514,lineage_d7d931d1666273e6d955,DOUBLE_BOTTOM,RECOGNIZED,2024-02-23,27.15999985,2023-09-08,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,5.5384615385,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,[], ,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
00014b1a370c4869,US53216B1044,LFMD,2024-12-31,3a51145334aded098a6e94bf,base_95c0624dbf2ba6a508fc,lineage_c9df49fa43674096265b,CUP_WITH_HANDLE,AMBIGUOUS,2024-07-31,8.43999958,2024-02-27,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,4.9230769231,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
0000c7ada9fedbb8,US1570851014,CERS,2024-12-31,06aa6af2eb5ff8860319715f,base_d10eb5c8e84b834ffdc5,lineage_808f215203528d03209c,CUP_WITH_HANDLE,AMBIGUOUS,2024-09-16,2.3499999,2024-08-19,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,12.0,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_AMBIGUOUS""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
0005517396294abd,US23291C1036,BOOM,2025-03-31,94b2cbe7013965948026388c,base_a1422ba625fc753e896a,lineage_c16661f856d4e555daaf,FLAT_BASE,REJECTED,2025-01-29,8.39000034,2024-12-09,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,9.2307692308,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,NOT_ELIGIBLE,"[""PATTERN_REJECTED""]",,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
001995ab541aa5a5,VGG2788T1113,DOGZ,2025-03-31,08ef97a14ea27cdcf331ba89,base_1963d75e1834178d0e06,lineage_fcac0dd46107156c97ff,DOUBLE_BOTTOM,RECOGNIZED,2025-01-07,56.01499939,2024-12-06,False,,NOT_EVALUABLE,NOT_EVALUABLE,FAIL,7.6923076923,CONFIRMED_UPTREND,ALLOW_NEW_BUYS,PIVOT_DEFINED,[], ,"[""C_NOT_PIT_AVAILABLE"",""A_3Y_EPS_CAGR_NOT_EVALUABLE"",""L_RS_PERCENTILE_LT_80"",""M_CONFIRMED_UPTREND"",""I_NOT_PIT_EVALUABLE""]"
