run_id,code_sha,collected_at_utc,market_data_asof,data_gate_pass,forward_candidate_count_interpretable,forward_candidate_count,forward_candidate_symbols,x1_candidate_trades,x1_portfolio_entries,x1_closed_trades,x3_candidate_trades,x3_portfolio_entries,x3_closed_trades,completed_calendar_months,calendar_gate_pass,trade_gate_pass,gate_status
34493433671,52f9b92c5052ec6361cb01de78561da6eb68d7ab,2026-09-10T15:06:40.664747+00:00,2026-09-04,,,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
34494436017,aea4e12c94b14c700b2bde977410140de597b48c,2026-09-10T15:15:55.603276+00:00,2026-09-04,False,False,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
34494648029,f32e33836e30c98c34ee0cf7b67ee6882c4f6928,2026-09-10T15:18:17.633581+00:00,2026-09-04,False,False,0,0,0,0,0,0,0,0,0,False,False,WAITING_FOR_POST_BOUNDARY_DATA
34495098994,5fb44a4eddf1c37a139b25a6b9fdb370d30e7f1b,2026-09-10T15:21:45.940824+00:00,2026-09-04,False,False,0,0,0,0,0,0,0,0,0,False,False,WAITING_FOR_POST_BOUNDARY_DATA
34568992370,c1241537fd79d8f5fa549ee722afe16289c1fbb1,2026-09-11T06:13:19.272045+00:00,2026-09-10,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
34581933448,4ceec488a8744bdf84e686f290b4f70cab1d9305,2026-09-11T09:00:18.333903+00:00,2026-09-10,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
34684004677,ec9465a3beff4087fb4482688d53f438522cd56e,2026-09-12T08:43:53.130379+00:00,2026-09-11,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
34952867679,f89c077f06f34b97e480436883c25139b0de150a,2026-09-15T09:30:50.178427+00:00,2026-09-11,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
35079157682,868bb110b02021c6cabd6beb4a98a9a7f9a974fb,2026-09-16T09:23:58.198982+00:00,2026-09-11,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
35171004048,a6a070af276da540a16578b8f1879df24dd4f147,2026-09-17T01:33:34.921654+00:00,2026-09-11,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
35205748408,0d32848c2b9c6171de8eb3fbdc7c78e734670386,2026-09-17T09:33:45.421374+00:00,2026-09-11,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
35327719880,4d0d91bad8db33c3a52c0a3f25bff7165908ea1f,2026-09-18T09:06:04.478925+00:00,2026-09-17,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
35433192804,5f19e022b9c1f9572cb582ca06b4544824c718e4,2026-09-19T08:53:14.965722+00:00,2026-09-17,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
35710142415,e27ae71460d199542a64286c26225ecb1b8387f0,2026-09-22T09:24:12.907214+00:00,2026-09-17,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
35842753291,030149995bb289c474a219e1e1f891d82e7bde72,2026-09-23T09:24:50.562057+00:00,2026-09-17,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
35981055268,2f35b27030462959e343a14f74fdaf21692843a3,2026-09-24T09:24:58.456520+00:00,2026-09-17,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
36119948269,3a283ed7c1b4b645a79f8fa37ef93a82caeeb4e0,2026-09-25T09:42:56.534520+00:00,2026-09-17,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
36232779853,fc4d98c89a54741c74c4e927258620fd347bda82,2026-09-26T09:26:50.019846+00:00,2026-09-17,True,True,0,0,0,0,0,0,0,0,0,False,False,ACCUMULATING
